date,time,etapa,matchday,home_team,away_team,city,stadium,status,result,goles_local,goles_visitante,penales_local,penales_visitante,ganador_real,resultado_tipo
2026-06-24,20:00,Fase de grupos,3.0,South Africa,South Korea,Monterrey,Estadio BBVA,Played,1-0,1.0,0.0,,,South Africa,tiempo_reglamentario
2026-06-24,20:00,Fase de grupos,3.0,Czechia,Mexico,Mexico City,Estadio Banorte,Played,0-3,0.0,3.0,,,Mexico,tiempo_reglamentario
2026-06-25,15:00,Fase de grupos,3.0,Curaçao,Ivory Coast,Philadelphia,Lincoln Financial Field,Played,0-2,0.0,2.0,,,Ivory Coast,tiempo_reglamentario
2026-06-25,15:00,Fase de grupos,3.0,Ecuador,Germany,East Rutherford,MetLife Stadium,Played,2-1,2.0,1.0,,,Ecuador,tiempo_reglamentario
2026-06-25,18:00,Fase de grupos,3.0,Tunisia,Netherlands,Kansas City,Arrowhead Stadium,Played,1-3,1.0,3.0,,,Netherlands,tiempo_reglamentario
2026-06-25,18:00,Fase de grupos,3.0,Japan,Sweden,Arlington,AT&T Stadium,Played,1-1,1.0,1.0,,,Empate,empate
2026-06-25,21:00,Fase de grupos,3.0,Paraguay,Australia,Santa Clara,Levi's Stadium,Played,0-0,0.0,0.0,,,Empate,empate
2026-06-25,21:00,Fase de grupos,3.0,Türkiye,USA,Inglewood,SoFi Stadium,Played,3-2,3.0,2.0,,,Türkiye,tiempo_reglamentario
2026-06-26,14:00,Fase de grupos,3.0,Norway,France,Boston,Gillette Stadium,Played,1-4,1.0,4.0,,,France,tiempo_reglamentario
2026-06-26,14:00,Fase de grupos,3.0,Senegal,Iraq,Toronto,BMO Field,Played,5-0,5.0,0.0,,,Senegal,tiempo_reglamentario
2026-06-26,19:00,Fase de grupos,3.0,Cape Verde Islands,Saudi Arabia,Houston,NRG Stadium,Played,0-0,0.0,0.0,,,Empate,empate
2026-06-26,19:00,Fase de grupos,3.0,Uruguay,Spain,Zapopan,Estadio Akron,Played,0-1,0.0,1.0,,,Spain,tiempo_reglamentario
2026-06-26,22:00,Fase de grupos,3.0,Egypt,Iran,Seattle,Lumen Field,Played,1-1,1.0,1.0,,,Empate,empate
